title,agency,bureau,spend
Reserve training,Department of Homeland Security                                 ,United States Coast Guard,111 
Civil service retirement and disability fund,Office of Personnel Management                                  ,Office of Personnel Management,111 
Salaries and expenses,Department of the Treasury                                      ,Alcohol and Tobacco Tax and Trade Bureau,111 
Formerly utilized sites remedial action program,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,112 
Compensation of members and related administrative expenses,Legislative Branch                                              ,House of Representatives,112 
Administrative expenses,Department of Transportation                                    ,Federal Transit Administration,113 
Hazardous Substance Superfund                                   ,Environmental Protection Agency                                 ,Environmental Protection Agency,114 
Salaries and expenses,Department of Justice                                           ,General Administration,114 
Miscellaneous permanent appropriations,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,115 
Salaries and Expenses                                           ,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,115 
Salaries and expenses,Department of the Treasury                                      ,Financial Crimes Enforcement Network,115 
Other Federal drug control programs,Federal Drug Control Programs                                   ,Federal Drug Control Programs                                   ,115 
Boat Safety,Department of Homeland Security                                 ,United States Coast Guard,116 
Special workers' compensation,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,117 
Salaries and expenses,Office of Personnel Management                                  ,Office of Personnel Management,119 
Integrated activities,Department of Agriculture                                       ,National Institute of Food and Agriculture                      ,120 
"Federal Assistance, FEMA                                        ",Department of Homeland Security                                 ,Federal Emergency Management Agency                             ,120 
Investigations                                                  ,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,121 
Regulation and technology,Department of the Interior                                      ,Office of Surface Mining Reclamation and Enforcement,121 
Gallaudet University,Department of Education                                         ,Office of Special Education and Rehabilitative Services,121 
Energy information administration,Department of Energy                                            ,Energy Programs,122 
"Operations and Support, OHA                                     ",Department of Homeland Security                                 ,Office of Health Affairs,122 
State supplemental fees,Social Security Administration                                  ,Social Security Administration,122 
"Medicare-Eligible retiree health fund contribution, reserve pers",Department of Defense--Military Programs                        ,Military Personnel,123 
"Overseas Humanitarian, Disaster, and Civic Aid                  ",Department of Defense--Military Programs                        ,Operation and Maintenance,123 
Railroad unemployment insurance trust fund,Railroad Retirement Board                                       ,Railroad Retirement Board                                       ,123 
Transition Initiatives,International Assistance Programs                               ,Agency for International Development,124 
"Medicare-Eligible retiree health fund contribution, reserve pers",Department of Defense--Military Programs                        ,Military Personnel,125 
"Administrative expenses, Energy employees occupational illness c",Department of Labor                                             ,Office of Workers' Compensation Programs                        ,125 
Bonneville Power Administration fund,Department of Energy                                            ,Power Marketing Administration,126 
Healthcare research and quality                                 ,Department of Health and Human Services                         ,Agency for Healthcare Research and Quality,126 
Salaries and expenses,Consumer Product Safety Commission                              ,Consumer Product Safety Commission                              ,126 
Buildings and facilities,Department of Justice                                           ,Federal Prison System,127 
Sergeant at Arms and Doorkeeper of the Senate,Legislative Branch                                              ,Senate,127 
Office of Inspector General,Department of Housing and Urban Development                     ,Management and Administration,128 
Forest Service trust funds,Department of Agriculture                                       ,Forest Service,129 
Buildings and facilities,Department of Health and Human Services                         ,National Institutes of Health,129 
FHA-mutual mortgage insurance program account,Department of Housing and Urban Development                     ,Housing Programs,130 
Special benefits,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,130 
Abandoned mine reclamation fund,Department of the Interior                                      ,Office of Surface Mining Reclamation and Enforcement,132 
Emergency conservation program,Department of Agriculture                                       ,Farm Service Agency,132 
"Salaries and expenses, National Gallery of Art",Smithsonian Institution                                         ,Smithsonian Institution                                         ,133 
Inquiries and investigations,Legislative Branch                                              ,Senate,133 
Facilities capital,Smithsonian Institution                                         ,Smithsonian Institution                                         ,134 
High Tech Job Training Demonstration Projects,Department of Labor                                             ,Employment and Training Administration,134 
United Mine Workers of America Combined Benefit Fund            ,United Mine Workers of America Benefit Funds                    ,United Mine Workers of America Benefit Funds                    ,134 
National Center for Complementary and Alternative Medicine,Department of Health and Human Services                         ,National Institutes of Health,135 
Pipeline safety,Department of Transportation                                    ,Pipeline and Hazardous Materials Safety Administration          ,136 
Rehabilitation Services                                         ,Department of Education                                         ,Office of Special Education and Rehabilitative Services,137 
Choice Neighborhoods Initiative                                 ,Department of Housing and Urban Development                     ,Public and Indian Housing Programs,138 
Federal trust programs                                          ,Department of the Interior                                      ,Office of the Special Trustee for American Indians              ,139 
Payment to the Neighborhood Reinvestment Corporation            ,Neighborhood Reinvestment Corporation                           ,Neighborhood Reinvestment Corporation                           ,140 
Tribal special fund,Department of the Interior                                      ,Office of the Special Trustee for American Indians              ,140 
National Institute of Diabetes and Digestive and Kidney Diseases (Health,Department of Health and Human Services                         ,National Institutes of Health,140 
Reimbursements to Federal Reserve Banks                         ,Department of the Treasury                                      ,Fiscal Service                                                  ,140 
Foreign military financing loan program account,International Assistance Programs                               ,International Security Assistance,141 
Departmental administration,Department of Energy                                            ,Departmental Administration,143 
Office of Inspector General                                     ,Department of State                                             ,Administration of Foreign Affairs,145 
Lead hazard reduction,Department of Housing and Urban Development                     ,Office of Lead Hazard Control and Healthy Homes,145 
Operations and Research (Highway Trust Fund)                    ,Department of Transportation                                    ,National Highway Traffic Safety Administration,146 
College housing and academic facilities loans program account,Department of Education                                         ,Office of Postsecondary Education,146 
Housing for persons with disabilities,Department of Housing and Urban Development                     ,Housing Programs,146 
TEACH Grant Program Account                                     ,Department of Education                                         ,Office of Federal Student Aid                                   ,147 
North Atlantic Treaty Organization security investment program,Department of Defense--Military Programs                        ,Military Construction,148 
Abandoned mine reclamation fund,Department of the Interior                                      ,Office of Surface Mining Reclamation and Enforcement,149 
Washington Metropolitan Area Transit Authority,Department of Transportation                                    ,Federal Transit Administration,150 
Payments to air carriers,Department of Transportation                                    ,Office of the Secretary,150 
Grants and Administration                                       ,National Endowment for the Arts                                 ,National Endowment for the Arts                                 ,150 
Grants and Administration                                       ,National Endowment for the Humanities                           ,National Endowment for the Humanities                           ,150 
Indian Health Services,Department of Health and Human Services                         ,Indian Health Service                                           ,150 
National Institute for Nursing Research (Health research),Department of Health and Human Services                         ,National Institutes of Health,150 
Ukraine Loan Guarantees Program Account                         ,International Assistance Programs                               ,Agency for International Development,151 
Safe Schools and Citizenship Education                          ,Department of Education                                         ,Office of Elementary and Secondary Education,151 
Appalachian Regional Commission                                 ,Appalachian Regional Commission                                 ,Appalachian Regional Commission                                 ,152 
Contribution to the International Bank for Reconstruction and De,International Assistance Programs                               ,Multilateral Assistance,153 
Industrial technology services,Department of Commerce                                          ,National Institute of Standards and Technology,153 
Board of Veterans Appeals,Department of Veterans Affairs                                  ,Departmental Administration,155 
"Research and Development, DNDO                                  ",Department of Homeland Security                                 ,Domestic Nuclear Detection Office                               ,155 
"Family housing construction, Army",Department of Defense--Military Programs                        ,Family Housing,157 
Permanent operating funds,Department of the Interior                                      ,Bureau of Land Management,157 
Office of Inspector General,Department of Veterans Affairs                                  ,Departmental Administration,159 
Payment to judiciary trust funds,Judicial Branch                                                 ,Judicial Retirement Funds,161 
Land acquisition and State assistance,Department of the Interior                                      ,National Park Service,162 
"Procurement, Construction, and Improvements, USSS               ",Department of Homeland Security                                 ,United States Secret Service,164 
Indian Education                                                ,Department of Education                                         ,Office of Elementary and Secondary Education,165 
"Military construction, Air National Guard",Department of Defense--Military Programs                        ,Military Construction,168 
"Expenses and refunds, inspection and grading of farm products",Department of Agriculture                                       ,Agricultural Marketing Service,169 
National Endowment for Democracy,Department of State                                             ,Other,170 
Treasury Inspector General for Tax Administration,Department of the Treasury                                      ,Departmental Offices,170 
National Agricultural Statistics Service,Department of Agriculture                                       ,National Agricultural Statistics Service,171 
Nutrition programs administration,Department of Agriculture                                       ,Food and Nutrition Service,171 
Salaries and expenses,Federal Trade Commission                                        ,Federal Trade Commission                                        ,173 
"Operations and Support, OIG                                     ",Department of Homeland Security                                 ,Office of the Inspector General,175 
Operations and training,Department of Transportation                                    ,Maritime Administration,176 
"Medicare-eligible Retiree Health Fund Contribution, Homeland Sec",Department of Homeland Security                                 ,United States Coast Guard,176 
"Research, engineering and development (Airport and airway trust",Department of Transportation                                    ,Federal Aviation Administration,177 
"Operations and Support, OSEM                                    ",Department of Homeland Security                                 ,Office of the Secretary and Executive Management                ,178 
Operations and research,Department of Transportation                                    ,National Highway Traffic Safety Administration,180 
Expenses                                                        ,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,181 
Salaries and expenses,Department of Labor                                             ,Employee benefits security administration,181 
"Salaries, officers and employees",Legislative Branch                                              ,Senate,182 
House office buildings,Legislative Branch                                              ,Architect of the Capitol,185 
Rural economic development grants,Department of Agriculture                                       ,Rural Business_Cooperative Service                              ,186 
Disaster loans program account,Small Business Administration                                   ,Small Business Administration,186 
Rural Community Facilities Program Account                      ,Department of Agriculture                                       ,Rural Housing Service,189 
"Operational Test and Evaluation, Defense                        ",Department of Defense--Military Programs                        ,"Research, Development, Test, and Evaluation",190 
Construction,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,192 
Salaries and expenses,Department of Agriculture                                       ,Foreign Agricultural Service,197 
Community oriented policing services,Department of Justice                                           ,Office of Justice Programs,197 
"Military construction, Air Force Reserve",Department of Defense--Military Programs                        ,Military Construction,198 
Veterans Housing Benefit Program Fund                           ,Department of Veterans Affairs                                  ,Benefits Programs,199 
Capital Investment Fund of the United States Agency for Internat,International Assistance Programs                               ,Agency for International Development,200 
Regulatory program,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,200 
Payment to Puerto Rico Oversight Board                          ,Payment to Puerto Rico Oversight Board                          ,Puerto Rico Oversight Board                                     ,200 
Other permanent appropriations,Department of the Interior                                      ,National Park Service,201 
McGovern-Dole international food for education and child nutriti,Department of Agriculture                                       ,Foreign Agricultural Service,202 
"Procurement, Construction, and Improvements, TSA                ",Department of Homeland Security                                 ,Transportation Security Administration                          ,206 
Payment to the National Service Trust Fund                      ,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,207 
Gifts and Contributions                                         ,Corporation for National and Community Service                  ,Corporation for National and Community Service                  ,207 
Program expenses,Federal Retirement Thrift Investment Board                      ,Federal Retirement Thrift Investment Board                      ,208 
Major research equipment and facilities construction,National Science Foundation                                     ,National Science Foundation,209 
Rural electrification and telecommunications loans program accou,Department of Agriculture                                       ,Rural Utilities Service,209 
Construction (and Major Maintenance)                            ,Department of the Interior                                      ,National Park Service,209 
Democracy fund                                                  ,Department of State                                             ,Other,211 
Nuclear Energy                                                  ,Department of Energy                                            ,Energy Programs,212 
"Medicare-Eligible retiree health fund contribution, National Gua",Department of Defense--Military Programs                        ,Military Personnel,216 
United Mine Workers of America 1993 Benefit Plan                ,United Mine Workers of America Benefit Funds                    ,United Mine Workers of America Benefit Funds                    ,216 
Public and Indian Housing                                       ,Department of Housing and Urban Development                     ,Management and Administration,216 
Compact of free association,Department of the Interior                                      ,Insular Affairs,217 
Safety and operations,Department of Transportation                                    ,Federal Railroad Administration,218 
"Environmental restoration, formerly used Defense sites",Department of Defense--Military Programs                        ,Operation and Maintenance,222 
Howard University,Department of Education                                         ,Office of Postsecondary Education,222 
Strategic petroleum reserve,Department of Energy                                            ,Energy Programs,223 
Salaries and expenses,Department of Agriculture                                       ,Rural Development,227 
Economic development assistance programs,Department of Commerce                                          ,Economic Development Administration,227 
State and private forestry,Department of Agriculture                                       ,Forest Service,228 
Salaries and Expenses                                           ,Department of Labor                                             ,Wage and Hour Division                                          ,228 
Gulf Coast Restoration Trust Fund                               ,Department of the Treasury                                      ,Fiscal Service                                                  ,229 
Electricity Delivery and Energy Reliability                     ,Department of Energy                                            ,Energy Programs,230 
Office of Museum and Library Services: Grants and Administration,Institute of Museum and Library Services                        ,Institute of Museum and Library Services                        ,231 
Judiciary filing fees,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",234 
"Operations and Support, NPPD                                    ",Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,235 
Higher education,Department of Education                                         ,Office of Postsecondary Education,237 
Operation of Indian programs,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,238 
Department of Defense Base Closure Account                      ,Department of Defense--Military Programs                        ,Military Construction,240 
"Operations and Support, FLETC                                   ",Department of Homeland Security                                 ,Federal Law Enforcement Training Center,243 
Entrepreneurial Development Program,Small Business Administration                                   ,Small Business Administration,245 
Taxpayer Services,Department of the Treasury                                      ,Internal Revenue Service,245 
Contribution to the African Development Bank                    ,International Assistance Programs                               ,Multilateral Assistance,246 
Non-defense environmental cleanup                               ,Department of Energy                                            ,Energy Programs,247 
Juvenile justice programs,Department of Justice                                           ,Office of Justice Programs,247 
Community development financial institutions fund program accoun,Department of the Treasury                                      ,Departmental Offices,248 
Federal Payment to the Court Services and Offender Supervision A,Court Services and Offender Supervision Agency for the District ,Court Services and Offender Supervision Agency for the District ,248 
Host nation support fund for relocation,Department of Defense--Military Programs                        ,Trust Funds,250 
Commodity Futures Trading Commission                            ,Commodity Futures Trading Commission                            ,Commodity Futures Trading Commission                            ,250 
"Procurement, Construction, and Improvements, TSA                ",Department of Homeland Security                                 ,Transportation Security Administration                          ,250 
Fees and expenses of witnesses,Department of Justice                                           ,Legal Activities and U.S. Marshals,251 
Salaries and expenses,Department of the Treasury                                      ,Departmental Offices,252 
Watershed and flood prevention operations,Department of Agriculture                                       ,Natural Resources Conservation Service,253 
Office of Inspector General                                     ,Postal Service                                                  ,Postal Service                                                  ,254 
High Intensity Drug Trafficking Areas Program                   ,Federal Drug Control Programs                                   ,Federal Drug Control Programs                                   ,254 
MENA Loan Guarantee Program Account                             ,International Assistance Programs                               ,Agency for International Development,255 
Housing Trust Fund                                              ,Department of Housing and Urban Development                     ,Community Planning and Development,255 
Information Technology Fund                                     ,Department of Housing and Urban Development                     ,Management and Administration,257 
Rural electrification and telecommunications liquidating account,Department of Agriculture                                       ,Rural Utilities Service,260 
"Federal Housing Finance Agency, Administrative Expenses         ",Federal Housing Finance Agency                                  ,Federal Housing Finance Agency                                  ,263 
Supplemental Payments to UMWA Plans                             ,Department of the Interior                                      ,Office of Surface Mining Reclamation and Enforcement,264 
"Operations and Support, AO                                      ",Department of Homeland Security                                 ,Analysis and Operations                                         ,264 
Recreation fee permanent appropriations,Department of the Interior                                      ,National Park Service,265 
"Contribution for Annuity Benefits, United States Secret Service ",Department of Homeland Security                                 ,United States Secret Service,265 
Current Surveys and Programs                                    ,Department of Commerce                                          ,Bureau of the Census,270 
Salaries and expenses,Small Business Administration                                   ,Small Business Administration,270 
Salaries and expenses,Department of the Interior                                      ,Departmental Offices                                            ,271 
"Operation and maintenance, Marine Corps Reserve",Department of Defense--Military Programs                        ,Operation and Maintenance,274 
"Family housing operation and maintenance, Air Force",Department of Defense--Military Programs                        ,Family Housing,274 
Salaries and Expenses                                           ,National Labor Relations Board                                  ,National Labor Relations Board                                  ,274 
Federal Payment to the District of Columbia Courts              ,District of Columbia                                            ,District of Columbia Courts                                     ,275 
Motor Carrier Safety Operations and Programs,Department of Transportation                                    ,Federal Motor Carrier Safety Administration,277 
Contract Support Costs                                          ,Department of the Interior                                      ,Bureau of Indian Affairs and Bureau of Indian Education         ,278 
Education benefits fund,Other Defense Civil Programs                                    ,Educational Benefits,285 
"Construction, rehabilitation, operation and maintenance, Western",Department of Energy                                            ,Power Marketing Administration,286 
National Cemetery Administration                                ,Department of Veterans Affairs                                  ,Departmental Administration,286 
National Center on Minority Health and Health Disparities,Department of Health and Human Services                         ,National Institutes of Health,289 
Iraq Train and Equip Fund                                       ,Department of Defense--Military Programs                        ,Operation and Maintenance,290 
Business systems modernization,Department of the Treasury                                      ,Internal Revenue Service,290 
IRS General Provision,Department of the Treasury                                      ,Internal Revenue Service,290 
Payment to Foreign Service retirement and disability fund,Department of State                                             ,Administration of Foreign Affairs,297 
Maritime security program,Department of Transportation                                    ,Maritime Administration,300 
"Payments to the United States territories, fiscal assistance",Department of the Interior                                      ,Insular Affairs,300 
"Family housing operation and maintenance, Navy and Marine Corps",Department of Defense--Military Programs                        ,Family Housing,301 
Advanced Research Projects Agency--Energy                       ,Department of Energy                                            ,Energy Programs,305 
Forest and rangeland research,Department of Agriculture                                       ,Forest Service,308 
Vaccine Injury Compensation Program Trust Fund                  ,Department of Health and Human Services                         ,Health Resources and Services Administration,311 
"Operations and Support, Sci and Tech                            ",Department of Homeland Security                                 ,Science and Technology,311 
"Military construction, Army National Guard",Department of Defense--Military Programs                        ,Military Construction,313 
Commodity assistance program,Department of Agriculture                                       ,Food and Nutrition Service,315 
Healthcare research and quality                                 ,Department of Health and Human Services                         ,Agency for Healthcare Research and Quality,324 
Salaries                                                        ,Legislative Branch                                              ,Capitol Police,325 
"Family housing operation and maintenance, Army",Department of Defense--Military Programs                        ,Family Housing,326 
Cooperative Threat Reduction Account                            ,Department of Defense--Military Programs                        ,Operation and Maintenance,326 
"Operations and Support, ICE                                     ",Department of Homeland Security                                 ,U.S. Immigration and Customs Enforcement                        ,326 
Northeast corridor grants to Amtrak,Department of Transportation                                    ,Federal Railroad Administration,328 
Agency operations and award management                          ,National Science Foundation                                     ,National Science Foundation,330 
Office of the Inspector General,Department of Defense--Military Programs                        ,Operation and Maintenance,334 
Salaries and expenses,Department of Labor                                             ,Departmental Management,335 
CDC-Wide Activities and Program Support                         ,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,335 
Affordable Housing Program                                      ,Affordable Housing Program                                      ,Affordable Housing Program                                      ,335 
International Organizations and Programs,International Assistance Programs                               ,Multilateral Assistance,339 
General Administration                                          ,Department of Veterans Affairs                                  ,Departmental Administration,345 
Capital improvement and maintenance,Department of Agriculture                                       ,Forest Service,349 
NIH Innovation Account,Department of Health and Human Services                         ,National Institutes of Health,352 
Salaries and Expenses                                           ,Department of the Treasury                                      ,Fiscal Service                                                  ,353 
Black Lung Disability Trust Fund                                ,Department of Labor                                             ,Office of Workers' Compensation Programs                        ,354 
Housing opportunities for persons with AIDS,Department of Housing and Urban Development                     ,Community Planning and Development,356 
National Institute of Biomedical Imaging and Bioengineering,Department of Health and Human Services                         ,National Institutes of Health,357 
Operating expenses,National Archives and Records Administration                    ,National Archives and Records Administration                    ,358 
Internal revenue collections for Puerto Rico,Department of the Treasury                                      ,Alcohol and Tobacco Tax and Trade Bureau,360 
Rural housing insurance fund program account,Department of Agriculture                                       ,Rural Housing Service,363 
Salaries and expenses,Equal Employment Opportunity Commission                         ,Equal Employment Opportunity Commission                         ,365 
Motor Carrier Safety Grants,Department of Transportation                                    ,Federal Motor Carrier Safety Administration,367 
"Construction, Minor Projects                                    ",Department of Veterans Affairs                                  ,Departmental Administration,372 
9-11 Response and Biometric Exit Account                        ,Department of Homeland Security                                 ,U.S. Customs and Border Protection                              ,372 
Salaries and expenses,Department of Labor                                             ,Mine Safety and Health Administration,374 
"Medicare prescription drug account, Federal supplementary insura",Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,374 
"Medicare-Eligible Retiree Health Fund, Reserves, Army           ",Department of Defense--Military Programs                        ,Military Personnel,376 
"Maternal, Infant, and Early Childhood Home Visiting Programs    ",Department of Health and Human Services                         ,Health Resources and Services Administration,377 
Agricultural credit insurance fund program account,Department of Agriculture                                       ,Farm Service Agency,383 
World Trade Center Health Program Fund                          ,Department of Health and Human Services                         ,Centers for Disease Control and Prevention,384 
Federal unemployment benefits and allowances,Department of Labor                                             ,Employment and Training Administration,385 
Diversion control fee account,Department of Justice                                           ,Drug Enforcement Administration,385 
Payment to the Legal Services Corporation                       ,Legal Services Corporation                                      ,Legal Services Corporation                                      ,385 
Salaries and Expenses                                           ,Department of Energy                                            ,National Nuclear Security Administration,387 
"Procurement, Construction, and Improvements, NPPD               ",Department of Homeland Security                                 ,National Protection and Programs Directorate                    ,387 
Senators' official personnel and office expense account,Legislative Branch                                              ,Senate,390 
Federal unemployment benefits and allowances,Department of Labor                                             ,Employment and Training Administration,391 
Housing                                                         ,Department of Housing and Urban Development                     ,Management and Administration,392 
Salaries and expenses,Department of Agriculture                                       ,Animal and Plant Health Inspection Service,394 
Rivers and harbors contributed funds,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,399 
Community service employment for older Americans,Department of Labor                                             ,Employment and Training Administration,400 
National Library of Medicine (Health research),Department of Health and Human Services                         ,National Institutes of Health,408 
Peace Corps,International Assistance Programs                               ,Peace Corps,410 
Joint DOD-VA Medical Facility Demonstration Fund                ,Department of Veterans Affairs                                  ,Veterans Health Administration                                  ,411 
Salaries and expenses,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",418 
Fossil energy research and development,Department of Energy                                            ,Energy Programs,421 
National Institute of Dental Research (Health research),Department of Health and Human Services                         ,National Institutes of Health,426 
Joint Improvised-Threat Defeat Fund                             ,Department of Defense--Military Programs                        ,Procurement,427 
Program administration,Department of Education                                         ,Departmental Management,432 
Sport fish restoration,Department of the Interior                                      ,United States Fish and Wildlife Service,434 
Federal payment to the District of Columbia pension fund        ,District of Columbia                                            ,District of Columbia General and Special Payments               ,436 
National Institute on Deafness and Other Communicative Disorders (Health,Department of Health and Human Services                         ,National Institutes of Health,437 
Administrative review and appeals,Department of Justice                                           ,General Administration,440 
"Salaries and expenses, Library of Congress",Legislative Branch                                              ,Library of Congress,451 
Flood control and coastal emergencies,Corps of Engineers--Civil Works                                 ,Corps of Engineers--Civil Works                                 ,452 
Promoting Safe and Stable Families                              ,Department of Health and Human Services                         ,Administration for Children and Families,461 
General departmental management,Department of Health and Human Services                         ,Departmental Management,461 
"Research and Development, Sci and Tech                          ",Department of Homeland Security                                 ,Science and Technology,465 
Payments in Lieu of Taxes                                       ,Department of the Interior                                      ,Department-Wide Programs                                        ,465 
Violence against women prevention and prosecution programs      ,Department of Justice                                           ,Office of Justice Programs,468 
Construction,Department of Justice                                           ,Federal Bureau of Investigation,473 
Extension activities,Department of Agriculture                                       ,National Institute of Food and Agriculture                      ,482 
Operations and administration,Department of Commerce                                          ,International Trade Administration                              ,483 
NIH Alcohol,Department of Health and Human Services                         ,National Institutes of Health,483 
Corporation for Public Broadcasting,Corporation for Public Broadcasting                             ,Corporation for Public Broadcasting                             ,495 
National Infrastructure Investments                             ,Department of Transportation                                    ,Office of the Secretary,500 
State Response to Opioid Abuse Crisis,Department of Health and Human Services                         ,Substance Abuse and Mental Health Services Administration,500 
Federal Reserve Bank Reimbursement Fund                         ,Department of the Treasury                                      ,Fiscal Service                                                  ,500 
Housing for the elderly,Department of Housing and Urban Development                     ,Housing Programs,502 
Operating expenses,Department of Homeland Security                                 ,United States Coast Guard,503 
Central Intelligence Agency Retirement and Disability System    ,Central Intelligence Agency                                     ,Central Intelligence Agency                                     ,514 
Intelligence Community Management Account                       ,Intelligence Community Management Account                       ,Intelligence Community Management Account                       ,516 
Interagency crime and drug enforcement,Department of Justice                                           ,Interagency Law Enforcement,517 
Administrative Support Offices                                  ,Department of Housing and Urban Development                     ,Management and Administration,518 
"Construction, Major Projects                                    ",Department of Veterans Affairs                                  ,Departmental Administration,528 
National human genome research institute,Department of Health and Human Services                         ,National Institutes of Health,529 
Judiciary information technology fund,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",530 
Salaries and expenses,Department of Labor                                             ,Bureau of Labor Statistics,544 
Construction and Environmental Compliance and Restoration       ,National Aeronautics and Space Administration                   ,National Aeronautics and Space Administration,545 
Indian health facilities,Department of Health and Human Services                         ,Indian Health Service                                           ,545 
Salaries and expenses,Legislative Branch                                              ,Government Accountability Office                                ,545 
Salaries and expenses,Department of Labor                                             ,Occupational Safety and Health Administration,553 
National Institute of Arthritis and Musculoskeletal and Skin Diseases (H,Department of Health and Human Services                         ,National Institutes of Health,558 
Rural water and waste disposal program account                  ,Department of Agriculture                                       ,Rural Utilities Service,559 
District of Columbia Federal pension fund                       ,District of Columbia                                            ,District of Columbia General and Special Payments               ,559 
Natural Resource Damage Assessment Fund                         ,Department of the Interior                                      ,Department-Wide Programs                                        ,565 
Court security,Judicial Branch                                                 ,"Courts of Appeals, District Courts, and other Judicial Services",565 
Child Enrollment Contingency Fund                               ,Department of Health and Human Services                         ,Centers for Medicare and Medicaid Services,575 
